id,category,question,answer,tags
1,PNG Basics,What is Piped Natural Gas (PNG)?,"PNG is mainly methane (CH4) with a small percentage of other hydrocarbons. Methane burns almost completely, making it one of the cleanest fuels.","png,basics,composition,clean fuel"
2,PNG Basics,Is storage space required for gas inside the society or near the house?,"No storage space is required. Gas is supplied through pipelines laid by MNGL.","png,infrastructure,storage,transmission"
3,Installation,What is the minimum penetration requirement for MNGL?,"A minimum of 50% of society members must subscribe for a PNG connection.","installation,eligibility,penetration"
4,Charges,What are the installation charges for each member?,"Total Rs. 6000: Rs. 5000 refundable security (connection), Rs. 500 refundable security (consumption), and Rs. 500 non-refundable application fee.","charges,installation,fees,security"
5,Infrastructure,Who owns and is responsible for laying pipelines?,"MNGL lays, owns, and maintains pipelines up to the consumer's kitchen. Damages within customer premises are chargeable. Society trenching/digging and resurfacing are handled by MNGL.","infrastructure,pipeline,ownership,responsibility"
6,Billing,What is the billing cycle?,"Bi-monthly.","billing,cycle,frequency"
7,Billing,How is the bill generated?,"Bills are based on actual usage. Meter reading is taken every two months, or customers can submit readings via customer care (1800-266-2696). If unavailable, average/assessed bills are generated.","billing,meter,assessed,process"
8,Payments,What are the payment modes?,"Cheque drop boxes, ECS, Axis/ICICI banks, and card payments at MNGL walk-in centres.","payments,modes,banks,ecs,card"
9,Tariff,What is the cost of natural gas?,"Rs. 34 per SCM.","tariff,price,scm"
10,Tariff,Are there any non-usage charges?,"A minimum of 4 SCM is charged if bi-monthly consumption is below 4 SCM.","tariff,minimum charge,consumption"
11,Installation,If a resident does not opt initially, how can they apply later?,"Late applicants must pay an additional online charge (currently Rs. 550) along with Rs. 6000.","installation,later-joiner,online charge"
12,Appliances,Are new accessories required for PNG instead of LPG?,"No. Existing appliances can be used by changing the nozzle. MNGL provides this at no extra cost.","appliances,nozzles,adaptation"
13,Policy,Can LPG be kept as backup?,"Yes, but LPG details must be declared. Cylinders must be surrendered or safely stored within two months as per MoPNG rules. Non-compliance may lead to disconnection.","policy,lpg,compliance,surrender"
14,Support,What if there is a breakdown due to road work?,"Contact the 24x7 emergency team. MNGL conducts regular patrolling to prevent leaks and accidents.","support,emergency,breakdown,patrol"
15,Supply,Is PNG supply regular?,"Yes. Distribution uses safety valves and regulators to ensure steady pressure.","supply,reliability,pressure"
16,Safety,Is PNG safe?,"Yes. It is flammable between 5–15% in air, lighter than air, disperses quickly, and has an auto-ignition temperature of 542°C.","safety,flammability,auto-ignition,ventilation"
17,Economics,Why is PNG economical compared to LPG?,"You pay only for what you use. There is no shortage, pilferage, or wastage.","economics,lpg,advantages"
18,CNG Basics,What is CNG?,"Compressed Natural Gas, mainly methane, used as an alternative automotive fuel. It is environmentally friendly.","cng,basics,auto,environment"
19,CNG Benefits,What are the benefits of CNG?,"Cleaner emissions, better engine life, dual-fuel flexibility, reduced lubrication needs, safer cylinders, lower cost, and higher mileage.","cng,benefits,engine,economy,safety"
20,CNG Kits,Which cars support CNG kits?,"Examples include Maruti (Wagon R, Alto, Swift, Dzire), Hyundai (i10, i20, Santro, Verna), Honda (Brio, Amaze, City), Tata (Indica, Indigo), and others.","cng,kits,cars,compatibility"
21,CNG Kits,What is the difference between sequential and regular CNG kits?,"Regular kits use a reducer and mixer with manual switching. Sequential kits use an ECM and injectors with automatic switching.","cng,kits,sequential,regular"
22,CNG Safety,What is the pressure in a CNG cylinder and is it safe?,"Up to 200 bar. Cylinders are CCOE-approved and equipped with safety devices like PRD (fusible plug and burst disc).","cng,safety,pressure,prds"
23,CNG Specs,What are the dimensions and weight of a CNG cylinder?,"A typical 50L cylinder weighs ~48 kg, length ~835 mm, diameter ~316 mm. Other sizes: 45L, 55L, 60L, 65L.","cng,specs,dimensions,weight"
24,CNG Compliance,How often is a hydro test required?,"Every 3 years.","cng,hydrotest,compliance"
25,CNG Service,Does a sequential CNG kit require servicing?,"No regular servicing is needed after tuning, except cylinder hydro testing every 3 years.","cng,service,hydrotest"
26,CNG Safety,Is CNG safe?,"Yes. It is lighter than air and disperses quickly in case of leakage.","cng,safety,leak,dispersion"
27,CNG Usage,How to check CNG level?,"The vehicle’s electronic system indicates the CNG level.","cng,usage,indicator"
28,CNG Usage,Can a car run on both petrol and CNG?,"Yes. Sequential kits allow automatic switching.","cng,dual-fuel,changeover"
29,CNG Engine,Does CNG harm the engine?,"No. It improves engine life, reduces carbon deposits, and minimizes wear and tear.","cng,engine,maintenance"
30,CNG Kits,Types and brands of CNG kits?,"Types: Regular and Sequential. Brands: BRC, Lovato, Tomasetto, Zavoli, Landi Renzo, etc.","cng,kits,brands,types"
31,CNG Kits,What is a CNG conversion kit?,"A set of components like emulator, vaporiser, cylinder, pressure gauge, valves, pipes, and switches that enable CNG operation.","cng,kits,components"
32,Policy,Do I need to surrender LPG after getting PNG?,"Yes. As per MoPNG rules, LPG must be surrendered within 60 days. One connection may be retained as per later orders.","policy,lpg,surrender,orders"
33,Support,How to report grievances?,"Contact MNGL customer care for assistance regarding PNG services.","support,grievance,customer care"
34,KYC,How to correct address details?,"Submit corrected address on society letterhead with secretary’s signature, BP number, and contact details.","kyc,address,correction,documents"
35,KYC,How to correct name or flat details?,"Submit valid documents such as Index 2, electricity bill, maintenance receipt, or agreement copy. Email or post to MNGL office.","kyc,name,documents,email,postal"
